站点名称,主办单位名称,网站名称,目标地址,目标AS域,下行流量,上行流量,总流量
video.momocdn.com,,,175.22.33.241,吉林省联通,4.961G,132.528M,5.093G
live3.abcdsky.com:1935,,,122.136.212.250,吉林省联通,4.704G,280.579M,4.985G
pgdt.gtimg.cn,,,220.194.87.81,天津市联通,4.576G,144.485M,4.721G
lccdn.yingshidq.com.cn,,,182.18.83.67,北京市联通,3.984G,271.692M,4.256G
live1.abcdsky.com:1935,,,122.136.212.251,吉林省联通,3.654G,294.872M,3.949G
crl3.digicert.com,,,117.18.237.29,其他国家,2.791G,140.8M,2.932G
1.189.177.228,,,1.189.177.228,黑龙江省联通,2.646G,112.109M,2.758G
live2.abcdsky.com:1935,,,122.136.212.252,吉林省联通,2.275G,188.821M,2.464G
p0.meituan.net,,,42.56.79.250,辽宁省联通,2.034G,114.762M,2.149G
122.156.230.131:12140,,,122.156.230.131,黑龙江省联通,2.061G,62.9M,2.124G
1.189.177.201,,,1.189.177.201,黑龙江省联通,2.03G,87.133M,2.117G
vod1.abcdsky.com:2100,,,122.136.212.249,吉林省联通,1.98G,130.832M,2.111G
1.189.177.240,,,1.189.177.240,黑龙江省联通,2.01G,98.434M,2.109G
122.156.238.150:49155,,,122.156.238.150,黑龙江省联通,1.898G,86.813M,1.985G
101.71.255.229:6610,,,101.71.255.229,浙江省联通,1.763G,127.007M,1.89G
dlied1.qq.com,,,222.162.104.85,吉林省联通,1.757G,77.099M,1.834G
youku.cdn1-kubozy.com,,,23.224.220.99,其他国家,1.656G,100.079M,1.756G
ali-origin.pull.yximgs.com,,,119.6.235.68,四川省联通,1.613G,97.41M,1.711G
1.189.177.189,,,1.189.177.189,黑龙江省联通,1.608G,102.372M,1.71G
211.178.72.29:9981,,,211.178.72.29,韩国,1.564G,142.649M,1.707G
210.76.57.106,,,210.76.57.106,黑龙江省联通,1.636G,67.836M,1.704G
assets1.xboxlive.cn,,,123.125.46.114,北京市联通,1.638G,40.989M,1.679G
210.76.57.101,,,210.76.57.101,黑龙江省联通,1.548G,73.031M,1.621G
101.71.255.232:6610,,,101.71.255.232,浙江省联通,1.542G,74.134M,1.617G
qxpk.yingyonghui.com,,,221.194.137.93,河北省联通,1.467G,64.783M,1.531G
210.76.57.100,,,210.76.57.100,黑龙江省联通,1.428G,74.244M,1.502G
210.76.58.49,,,210.76.58.49,黑龙江省联通,1.439G,63.234M,1.502G
113.200.143.55,,,113.200.143.55,陕西省联通,1.398G,58.691M,1.457G
121.31.30.87:85,,,121.31.30.87,广西联通,1.362G,77.29M,1.439G
img.momocdn.com,,,221.211.234.243,黑龙江省联通,1.335G,56M,1.391G
121.18.168.149,,,121.18.168.149,河北省联通,1.314G,50.615M,1.365G
101.71.76.177,,,101.71.76.177,浙江省联通,1.283G,23.195M,1.307G
youku.kuyun-leshi.com,,,193.46.241.28,其他国家,1.248G,21.827M,1.27G
210.76.57.49,,,210.76.57.49,黑龙江省联通,1.172G,58.138M,1.23G
v26.douyinvod.com,,,139.215.244.151,吉林省联通,1.186G,40.472M,1.226G
218.62.10.208:2150,,,218.62.10.208,吉林省联通,1.182G,1.655M,1.183G
182.18.83.66,,,182.18.83.66,北京市联通,1.084G,94.425M,1.179G
weixinconf.qq.com,,,157.0.149.87,江苏省联通,1.112G,30.381M,1.142G
v29.douyinvod.com,,,122.143.5.124,吉林省联通,1.067G,50.091M,1.117G
crl4.digicert.com,,,117.18.237.29,其他国家,1.071G,43.446M,1.114G
222.163.248.167:12300,,,222.163.248.167,吉林省联通,1.046G,44.184M,1.09G
bd-proxy.pull.yximgs.com,,,122.143.8.41,吉林省联通,1.016G,3.644M,1.019G
ks-origin.pull.yximgs.com,,,139.215.135.70,吉林省联通,908.214M,93.157M,1.001G
182.18.83.68,,,182.18.83.68,北京市联通,953.931M,46.362M,1G
serveraddr.service.kugou.com,,,111.202.32.59,北京市联通,817.382M,181.796M,999.178M
isure.stream.qqmusic.qq.com,,,218.60.55.243,辽宁省联通,968.762M,25.472M,994.234M
113.6.77.14,,,113.6.77.14,黑龙江省联通,918.432M,66.212M,984.644M
p1.meituan.net,,,113.1.0.87,黑龙江省联通,887.034M,53.104M,940.138M
120.92.1.17,,,120.92.1.17,建省福州市有线宽带,408.351M,514.916M,923.267M
