设备地址,站点名称,目标地址,目标AS域,下行流量,上行流量,总流量,下行流量-新,上行流量-新,总流量-新
,tx2.a.yximgs.com,182.254.53.43,腾讯,36.142G,25.596G,61.738G,36.142G,25.596G,61.738G
,shortv.cdp.qq.com,182.254.60.19,腾讯,20.542G,9.075G,29.616G,20.542G,9.075G,29.616G
,119.29.29.29,119.29.29.29,腾讯,12.931G,12.578G,25.509G,12.931G,12.578G,25.509G
,szextshort.weixin.qq.com,121.51.130.113,腾讯,4.958G,18.045G,23.003G,4.958G,18.045G,23.003G
,tx-origin.pull.yximgs.com,121.51.82.99,腾讯,12.636G,9.088G,21.724G,12.636G,9.088G,21.724G
,extshort.weixin.qq.com,121.51.86.133,腾讯,3.347G,12.664G,16.011G,3.347G,12.664G,16.011G
,dldir1.qq.com,182.254.52.203,腾讯,9.018G,5.215G,14.233G,9.018G,5.215G,14.233G
,imtt.dd.qq.com,182.254.59.187,腾讯,8.809G,5.156G,13.965G,8.809G,5.156G,13.965G
,adsmind.ugdtimg.com,182.254.60.36,腾讯,8.696G,3.396G,12.092G,8.696G,3.396G,12.092G
,wxsnsdy.wxs.qq.com,121.51.75.209,腾讯,6.706G,3.165G,9.871G,6.706G,3.165G,9.871G
,szminorshort.weixin.qq.com,121.51.19.149,腾讯,1.392G,8.179G,9.571G,1.392G,8.179G,9.571G
,moviets.tc.qq.com,182.254.61.190,腾讯,7.148G,1.784G,8.932G,7.148G,1.784G,8.932G
,tbs.imtt.qq.com,182.254.59.170,腾讯,5.677G,2.552G,8.229G,5.677G,2.552G,8.229G
,tx.static.yximgs.com,121.51.172.236,腾讯,5.713G,2.209G,7.923G,5.713G,2.209G,7.923G
,mtrace.qq.com,121.51.19.194,腾讯,222.998M,7.475G,7.698G,0.222998G,7.475G,7.698G
,dd.myapp.com,182.254.59.170,腾讯,4.018G,2.949G,6.967G,4.018G,2.949G,6.967G
,dns.weixin.qq.com,182.254.92.148,腾讯,2.366G,4.12G,6.486G,2.366G,4.12G,6.486G
,down.qq.com,182.254.93.102,腾讯,3.255G,2.574G,5.829G,3.255G,2.574G,5.829G
,minorshort.weixin.qq.com,121.51.118.79,腾讯,670.641M,5.061G,5.732G,0.6706409999999999G,5.061G,5.732G
,szshort.weixin.qq.com,121.51.140.147,腾讯,2.149G,3.448G,5.598G,2.149G,3.448G,5.598G
,tx.p2p.huya.com,121.51.64.209,腾讯,2.68G,1.99G,4.67G,2.68G,1.99G,4.67G
,magazineunlockstatic.vivo.com.cn,182.254.59.169,腾讯,2.525G,2.128G,4.653G,2.525G,2.128G,4.653G
,wxsv.qpic.cn,182.254.60.36,腾讯,3.073G,1.398G,4.471G,3.073G,1.398G,4.471G
,v.weishi.qq.com,182.254.60.36,腾讯,2.747G,1.59G,4.337G,2.747G,1.59G,4.337G
,121.51.19.194,121.51.19.194,腾讯,540.588M,3.774G,4.314G,0.540588G,3.774G,4.314G
,121.51.141.108,121.51.141.108,腾讯,567.115M,3.716G,4.283G,0.567115G,3.716G,4.283G
,t00img.yangkeduo.com,182.254.60.13,腾讯,1.838G,2.271G,4.109G,1.838G,2.271G,4.109G
,vipts.tc.qq.com,182.254.61.190,腾讯,3.241G,809.749M,4.051G,3.241G,0.809749G,4.051G
,down-update.qq.com,182.254.52.142,腾讯,1.867G,2.108G,3.974G,1.867G,2.108G,3.974G
,tx-adaptive.pull.yximgs.com,121.51.150.163,腾讯,2.635G,1.26G,3.894G,2.635G,1.26G,3.894G
,pgdt.gtimg.cn,182.254.52.196,腾讯,2.108G,1.7G,3.807G,2.108G,1.7G,3.807G
,wxsnsdysvp.wxs.qq.com,121.51.75.193,腾讯,2.56G,1.115G,3.675G,2.56G,1.115G,3.675G
,tx.game.yximgs.com,182.254.48.192,腾讯,2.216G,1.163G,3.379G,2.216G,1.163G,3.379G
